Bundesland,Durchschnittsmiete,Durchschnittsmiete pro qm,Preistrend in %
Sachsen_Anhalt,504,5.79,1.85
Thüringen,519,5.92,2.05
Mecklenburg_Vorpommern,565,6.45,1.97
Sachsen,579,6.39,2.10
Brandenburg,674,7.21,3.38
Saarland,726,7.42,2.69
Niedersachsen,786,8.11,3.31
Nordrhein_Westfalen,789,8.06,3.45
Bremen,801,8.45,3.32
Schleswig_Holstein,830,8.85,4.08
Rheinland_Pfalz,886,8.98,3.72
Baden_Württemberg,1154,11.95,4.77
Hessen,1211,12.54,4.20
Bayern,1228,13.71,4.81
Berlin,1376,13.79,7.85
Hamburg,1427,14.08,5.06
